id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1,2008,Delhi,2008-03-22,T20,A Nortje,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Mumbai Indians,Mumbai Indians,bat,Chennai Super Kings,wickets,7,154,20,N,,umpire_A,umpire_B
2,2008,Delhi,2008-03-23,T20,V Kohli,"Arun Jaitley Stadium, Delhi",Rajasthan Royals,Mumbai Indians,Rajasthan Royals,bat,Mumbai Indians,wickets,4,126,20,N,,umpire_A,umpire_B
3,2008,Kolkata,2008-03-24,T20,PA Patel,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,bat,Kolkata Knight Riders,wickets,9,152,20,N,,umpire_A,umpire_B
4,2008,Bengaluru,2008-03-25,T20,JC Buttler,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Mumbai Indians,Sunrisers Hyderabad,field,Mumbai Indians,runs,7,179,20,N,,umpire_A,umpire_B
5,2008,Bengaluru,2008-03-26,T20,SK Raina,"M Chinnaswamy Stadium, Bengaluru",Punjab Kings,Delhi Capitals,Punjab Kings,field,Delhi Capitals,runs,17,163,20,N,,umpire_A,umpire_B
6,2008,Delhi,2008-03-27,T20,MS Dhoni,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,19,182,20,N,,umpire_A,umpire_B
7,2008,Delhi,2008-03-28,T20,RP Singh,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,146,20,N,,umpire_A,umpire_B
8,2008,Chennai,2008-03-29,T20,KL Rahul,"MA Chidambaram Stadium, Chennai",Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,4,142,20,N,,umpire_A,umpire_B
9,2008,Chennai,2008-03-30,T20,NV Ojha,"MA Chidambaram Stadium, Chennai",Mumbai Indians,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,1,156,20,N,,umpire_A,umpire_B
10,2008,Delhi,2008-03-31,T20,Z Khan,"Arun Jaitley Stadium, Delhi",Punjab Kings,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,4,168,20,N,,umpire_A,umpire_B
11,2008,Ahmedabad,2008-04-01,T20,SP Narine,"Narendra Modi Stadium, Ahmedabad",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,bat,Royal Challengers Bengaluru,wickets,6,181,20,N,,umpire_A,umpire_B
12,2008,Jaipur,2008-04-02,T20,SR Watson,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,bat,Rajasthan Royals,runs,64,173,20,N,,umpire_A,umpire_B
13,2008,Bengaluru,2008-04-03,T20,YBK Jaiswal,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,14,173,20,N,,umpire_A,umpire_B
14,2008,Ahmedabad,2008-04-04,T20,RP Singh,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,Delhi Capitals,runs,29,195,20,N,,umpire_A,umpire_B
15,2008,Mumbai,2008-04-05,T20,RA Jadeja,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Delhi Capitals,field,Mumbai Indians,runs,11,180,20,N,,umpire_A,umpire_B
16,2008,Mohali,2008-04-06,T20,Shubman Gill,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Chennai Super Kings,wickets,4,154,20,N,,umpire_A,umpire_B
17,2008,Ahmedabad,2008-04-07,T20,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Royal Challengers Bengaluru,wickets,4,163,20,N,,umpire_A,umpire_B
18,2008,Delhi,2008-04-08,T20,KL Rahul,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Kolkata Knight Riders,Kolkata Knight Riders,bat,Sunrisers Hyderabad,wickets,3,183,20,N,,umpire_A,umpire_B
19,2008,Delhi,2008-04-09,T20,YBK Jaiswal,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Mumbai Indians,Kolkata Knight Riders,bat,Mumbai Indians,wickets,5,161,20,N,,umpire_A,umpire_B
20,2008,Ahmedabad,2008-04-10,T20,SE Marsh,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Kolkata Knight Riders,wickets,5,148,20,N,,umpire_A,umpire_B
21,2008,Jaipur,2008-04-11,T20,PP Chawla,"Sawai Mansingh Stadium, Jaipur",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,wickets,4,149,20,N,,umpire_A,umpire_B
22,2008,Bengaluru,2008-04-12,T20,DP Conway,"M Chinnaswamy Stadium, Bengaluru",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,133,20,N,,umpire_A,umpire_B
23,2008,Bengaluru,2008-04-13,T20,MS Dhoni,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,bat,Royal Challengers Bengaluru,wickets,6,188,20,N,,umpire_A,umpire_B
24,2008,Jaipur,2008-04-14,T20,MM Sharma,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Punjab Kings,Mumbai Indians,bat,Punjab Kings,wickets,7,135,20,N,,umpire_A,umpire_B
25,2008,Mohali,2008-04-15,T20,WP Saha,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Mumbai Indians,Mumbai Indians,field,Rajasthan Royals,runs,1,183,20,N,,umpire_A,umpire_B
26,2008,Mumbai,2008-04-16,T20,MM Sharma,"Wankhede Stadium, Mumbai",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,runs,19,171,20,N,,umpire_A,umpire_B
27,2008,Bengaluru,2008-04-17,T20,RA Jadeja,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Delhi Capitals,Mumbai Indians,bat,Delhi Capitals,wickets,4,171,20,N,,umpire_A,umpire_B
28,2008,Lucknow,2008-04-18,T20,AB de Villiers,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,Delhi Capitals,Mumbai Indians,field,Delhi Capitals,runs,21,175,20,N,,umpire_A,umpire_B
29,2008,Kolkata,2008-04-19,T20,SR Watson,"Eden Gardens, Kolkata",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,runs,42,213,20,N,,umpire_A,umpire_B
30,2008,Ahmedabad,2008-04-20,T20,KA Pollard,"Narendra Modi Stadium, Ahmedabad",Punjab Kings,Delhi Capitals,Punjab Kings,bat,Punjab Kings,runs,17,187,20,N,,umpire_A,umpire_B
31,2008,Mohali,2008-04-21,T20,SR Watson,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Kolkata Knight Riders,wickets,6,177,20,N,,umpire_A,umpire_B
32,2008,Chennai,2008-04-22,T20,JJ Bumrah,"MA Chidambaram Stadium, Chennai",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,bat,Delhi Capitals,runs,15,176,20,N,,umpire_A,umpire_B
33,2008,Delhi,2008-04-23,T20,G Gambhir,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Punjab Kings,Delhi Capitals,field,Delhi Capitals,wickets,3,148,20,N,,umpire_A,umpire_B
34,2008,Mumbai,2008-04-24,T20,AM Rahane,"Wankhede Stadium, Mumbai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,,no result,0,0,20,N,,umpire_A,umpire_B
35,2008,Mohali,2008-04-25,T20,KA Pollard,"Punjab Cricket Association Stadium, Mohali",Royal Challengers Bengaluru,Sunrisers Hyderabad,Sunrisers Hyderabad,bat,Royal Challengers Bengaluru,wickets,7,158,20,N,,umpire_A,umpire_B
36,2008,Lucknow,2008-04-26,T20,F du Plessis,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Delhi Capitals,Royal Challengers Bengaluru,field,Delhi Capitals,runs,24,182,20,N,,umpire_A,umpire_B
37,2008,Bengaluru,2008-04-27,T20,RA Jadeja,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Royal Challengers Bengaluru,Mumbai Indians,bat,Royal Challengers Bengaluru,wickets,4,185,20,N,,umpire_A,umpire_B
38,2008,Mumbai,2008-04-28,T20,SE Marsh,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Rajasthan Royals,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,5,148,20,N,,umpire_A,umpire_B
39,2008,Jaipur,2008-04-29,T20,RV Uthappa,"Sawai Mansingh Stadium, Jaipur",Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,bat,Kolkata Knight Riders,runs,55,192,20,N,,umpire_A,umpire_B
40,2008,Mumbai,2008-04-30,T20,AM Rahane,"Wankhede Stadium, Mumbai",Delhi Capitals,Rajasthan Royals,Delhi Capitals,bat,Delhi Capitals,runs,8,193,20,N,,umpire_A,umpire_B
41,2008,Mumbai,2008-05-01,T20,SK Raina,"Wankhede Stadium, Mumbai",Delhi Capitals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Delhi Capitals,runs,53,203,20,N,,umpire_A,umpire_B
42,2008,Hyderabad,2008-05-02,T20,SS Iyer,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,4,202,20,N,,umpire_A,umpire_B
43,2008,Ahmedabad,2008-05-03,T20,AB de Villiers,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Mumbai Indians,Mumbai Indians,bat,Delhi Capitals,wickets,3,166,20,N,,umpire_A,umpire_B
44,2008,Chennai,2008-05-04,T20,YS Chahal,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,bat,Sunrisers Hyderabad,wickets,7,152,20,N,,umpire_A,umpire_B
45,2008,Kolkata,2008-05-05,T20,AD Russell,"Eden Gardens, Kolkata",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,21,202,20,N,,umpire_A,umpire_B
46,2008,Mohali,2008-05-06,T20,AB de Villiers,"Punjab Cricket Association Stadium, Mohali",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,5,161,20,N,,umpire_A,umpire_B
47,2008,Delhi,2008-05-07,T20,Q de Kock,"Arun Jaitley Stadium, Delhi",Chennai Super Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,31,175,20,N,,umpire_A,umpire_B
48,2008,Mohali,2008-05-08,T20,DJ Bravo,"Punjab Cricket Association Stadium, Mohali",Mumbai Indians,Chennai Super Kings,Chennai Super Kings,bat,Mumbai Indians,wickets,5,163,20,N,,umpire_A,umpire_B
49,2008,Bengaluru,2008-05-09,T20,KS Williamson,"M Chinnaswamy Stadium, Bengaluru",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Rajasthan Royals,runs,37,220,20,N,,umpire_A,umpire_B
50,2008,Mohali,2008-05-10,T20,M Morkel,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Mumbai Indians,Punjab Kings,bat,Punjab Kings,runs,49,188,20,N,,umpire_A,umpire_B
51,2008,Ahmedabad,2008-05-11,T20,RG Sharma,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,runs,24,154,20,N,,umpire_A,umpire_B
52,2008,Ahmedabad,2008-05-12,T20,RK Singh,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Rajasthan Royals,Delhi Capitals,field,Delhi Capitals,wickets,5,139,20,N,,umpire_A,umpire_B
53,2008,Hyderabad,2008-05-13,T20,IK Pathan,"Rajiv Gandhi International Stadium, Hyderabad",Delhi Capitals,Chennai Super Kings,Chennai Super Kings,field,Chennai Super Kings,wickets,8,196,20,N,,umpire_A,umpire_B
54,2008,Jaipur,2008-05-14,T20,MS Dhoni,"Sawai Mansingh Stadium, Jaipur",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Sunrisers Hyderabad,wickets,6,168,20,N,,umpire_A,umpire_B
55,2008,Mohali,2008-05-15,T20,RV Uthappa,"Punjab Cricket Association Stadium, Mohali",Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,field,,no result,0,0,20,N,,umpire_A,umpire_B
56,2009,Ahmedabad,2009-03-22,T20,DP Conway,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,22,194,20,N,,umpire_A,umpire_B
57,2009,Jaipur,2009-03-23,T20,RP Singh,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,5,181,20,N,,umpire_A,umpire_B
58,2009,Jaipur,2009-03-24,T20,IK Pathan,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Kolkata Knight Riders,Mumbai Indians,bat,Kolkata Knight Riders,wickets,7,188,20,N,,umpire_A,umpire_B
59,2009,Hyderabad,2009-03-25,T20,CH Gayle,"Rajiv Gandhi International Stadium, Hyderabad",Sunrisers Hyderabad,Chennai Super Kings,Chennai Super Kings,field,Sunrisers Hyderabad,runs,56,186,20,N,,umpire_A,umpire_B
60,2009,Hyderabad,2009-03-26,T20,PA Patel,"Rajiv Gandhi International Stadium, Hyderabad",Chennai Super Kings,Kolkata Knight Riders,Chennai Super Kings,bat,Chennai Super Kings,runs,10,167,20,N,,umpire_A,umpire_B
61,2009,Lucknow,2009-03-27,T20,A Nehra,"Ekana Cricket Stadium, Lucknow",Mumbai Indians,Chennai Super Kings,Mumbai Indians,bat,Mumbai Indians,runs,12,173,20,N,,umpire_A,umpire_B
62,2009,Kolkata,2009-03-28,T20,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Kolkata Knight Riders,runs,36,173,20,N,,umpire_A,umpire_B
63,2009,Lucknow,2009-03-29,T20,KA Pollard,"Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Delhi Capitals,Chennai Super Kings,field,Chennai Super Kings,wickets,6,122,20,N,,umpire_A,umpire_B
64,2009,Lucknow,2009-03-30,T20,KA Pollard,"Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,bat,Mumbai Indians,runs,53,179,20,N,,umpire_A,umpire_B
65,2009,Bengaluru,2009-03-31,T20,RK Singh,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,4,172,20,N,,umpire_A,umpire_B
66,2009,Lucknow,2009-04-01,T20,JJ Bumrah,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Kolkata Knight Riders,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,27,180,20,N,,umpire_A,umpire_B
67,2009,Chennai,2009-04-02,T20,DL Chahar,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Rajasthan Royals,wickets,6,186,20,N,,umpire_A,umpire_B
68,2009,Hyderabad,2009-04-03,T20,AM Mishra,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Royal Challengers Bengaluru,Rajasthan Royals,field,Royal Challengers Bengaluru,runs,1,165,20,N,,umpire_A,umpire_B
69,2009,Ahmedabad,2009-04-04,T20,DJ Bravo,"Narendra Modi Stadium, Ahmedabad",Delhi Capitals,Punjab Kings,Punjab Kings,bat,Delhi Capitals,wickets,7,161,20,N,,umpire_A,umpire_B
70,2009,Mohali,2009-04-05,T20,Mohammed Shami,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,4,186,20,N,,umpire_A,umpire_B
71,2009,Ahmedabad,2009-04-06,T20,AM Mishra,"Narendra Modi Stadium, Ahmedabad",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,6,183,20,N,,umpire_A,umpire_B
72,2009,Chennai,2009-04-07,T20,SL Malinga,"MA Chidambaram Stadium, Chennai",Sunrisers Hyderabad,Punjab Kings,Punjab Kings,field,Sunrisers Hyderabad,runs,18,162,20,N,,umpire_A,umpire_B
73,2009,Chennai,2009-04-08,T20,YS Chahal,"MA Chidambaram Stadium, Chennai",Royal Challengers Bengaluru,Chennai Super Kings,Royal Challengers Bengaluru,field,Chennai Super Kings,runs,74,176,20,N,,umpire_A,umpire_B
74,2009,Mumbai,2009-04-09,T20,Shubman Gill,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Royal Challengers Bengaluru,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,1,144,20,N,,umpire_A,umpire_B
75,2009,Bengaluru,2009-04-10,T20,AM Mishra,"M Chinnaswamy Stadium, Bengaluru",Delhi Capitals,Sunrisers Hyderabad,Delhi Capitals,field,Sunrisers Hyderabad,runs,23,174,20,N,,umpire_A,umpire_B
76,2009,Bengaluru,2009-04-11,T20,SP Narine,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,8,139,20,N,,umpire_A,umpire_B
77,2009,Bengaluru,2009-04-12,T20,M Morkel,"M Chinnaswamy Stadium, Bengaluru",Mumbai Indians,Chennai Super Kings,Mumbai Indians,field,Mumbai Indians,wickets,5,149,20,N,,umpire_A,umpire_B
78,2009,Mohali,2009-04-13,T20,G Gambhir,"Punjab Cricket Association Stadium, Mohali",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Kolkata Knight Riders,runs,11,187,20,N,,umpire_A,umpire_B
79,2009,Chennai,2009-04-14,T20,KA Pollard,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Rajasthan Royals,Chennai Super Kings,bat,Chennai Super Kings,runs,10,186,20,N,,umpire_A,umpire_B
80,2009,Lucknow,2009-04-15,T20,Mohammed Shami,"Ekana Cricket Stadium, Lucknow",Royal Challengers Bengaluru,Mumbai Indians,Mumbai Indians,field,Royal Challengers Bengaluru,runs,73,186,20,N,,umpire_A,umpire_B
81,2009,Lucknow,2009-04-16,T20,KL Rahul,"Ekana Cricket Stadium, Lucknow",Punjab Kings,Mumbai Indians,Punjab Kings,field,Mumbai Indians,runs,8,182,20,N,,umpire_A,umpire_B
82,2009,Mumbai,2009-04-17,T20,YS Chahal,"Wankhede Stadium, Mumbai",Royal Challengers Bengaluru,Punjab Kings,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,50,195,20,N,,umpire_A,umpire_B
83,2009,Jaipur,2009-04-18,T20,SK Raina,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,17,191,20,N,,umpire_A,umpire_B
84,2009,Mumbai,2009-04-19,T20,A Nehra,"Wankhede Stadium, Mumbai",Rajasthan Royals,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Rajasthan Royals,runs,1,173,20,N,,umpire_A,umpire_B
85,2009,Ahmedabad,2009-04-20,T20,DP Conway,"Narendra Modi Stadium, Ahmedabad",Mumbai Indians,Rajasthan Royals,Mumbai Indians,field,Rajasthan Royals,runs,24,196,20,N,,umpire_A,umpire_B
86,2009,Jaipur,2009-04-21,T20,V Kohli,"Sawai Mansingh Stadium, Jaipur",Punjab Kings,Mumbai Indians,Mumbai Indians,field,Punjab Kings,runs,48,193,20,N,,umpire_A,umpire_B
87,2009,Mohali,2009-04-22,T20,YBK Jaiswal,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Punjab Kings,wickets,6,165,20,N,,umpire_A,umpire_B
88,2009,Mumbai,2009-04-23,T20,SP Narine,"Wankhede Stadium, Mumbai",Mumbai Indians,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Sunrisers Hyderabad,wickets,8,169,20,N,,umpire_A,umpire_B
89,2009,Chennai,2009-04-24,T20,DJ Bravo,"MA Chidambaram Stadium, Chennai",Punjab Kings,Rajasthan Royals,Punjab Kings,bat,Punjab Kings,runs,32,186,20,N,,umpire_A,umpire_B
90,2009,Chennai,2009-04-25,T20,BB McCullum,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Mumbai Indians,Chennai Super Kings,bat,Chennai Super Kings,runs,1,185,20,N,,umpire_A,umpire_B
91,2009,Chennai,2009-04-26,T20,Rashid Khan,"MA Chidambaram Stadium, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Chennai Super Kings,field,Sunrisers Hyderabad,runs,56,180,20,N,,umpire_A,umpire_B
92,2009,Delhi,2009-04-27,T20,AM Rahane,"Arun Jaitley Stadium, Delhi",Kolkata Knight Riders,Punjab Kings,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,4,162,20,N,,umpire_A,umpire_B
93,2009,Chennai,2009-04-28,T20,RP Singh,"MA Chidambaram Stadium, Chennai",Rajasthan Royals,Royal Challengers Bengaluru,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,26,153,20,N,,umpire_A,umpire_B
94,2009,Mohali,2009-04-29,T20,A Nehra,"Punjab Cricket Association Stadium, Mohali",Punjab Kings,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,5,158,20,N,,umpire_A,umpire_B
95,2009,Hyderabad,2009-04-30,T20,SV Samson,"Rajiv Gandhi International Stadium, Hyderabad",Rajasthan Royals,Chennai Super Kings,Chennai Super Kings,bat,Chennai Super Kings,runs,14,201,20,N,,umpire_A,umpire_B
